in s,C1 in V
1.74000160E-03,-2.07520E+00
1.74001040E-03,-2.06543E+00
1.74001920E-03,-2.04590E+00
1.74002800E-03,-2.04590E+00
1.74003680E-03,-2.03613E+00
1.74004560E-03,-2.06543E+00
1.74005440E-03,-2.01660E+00
1.74006320E-03,-2.03613E+00
1.74007200E-03,-2.04590E+00
1.74008080E-03,-2.06543E+00
1.74008960E-03,-2.06543E+00
1.74009840E-03,-2.01660E+00
1.74010720E-03,-2.07520E+00
1.74011600E-03,-2.03613E+00
1.74012480E-03,-2.04590E+00
1.74013360E-03,-2.07520E+00
1.74014240E-03,-2.02637E+00
1.74015120E-03,-2.02637E+00
1.74016000E-03,-2.07520E+00
1.74016880E-03,-2.05566E+00
1.74017760E-03,-2.07520E+00
1.74018640E-03,-2.03613E+00
1.74019520E-03,-2.09473E+00
1.74020400E-03,-2.09473E+00
1.74021280E-03,-2.05566E+00
1.74022160E-03,-2.03613E+00
1.74023040E-03,-2.07520E+00
1.74023920E-03,-2.04590E+00
1.74024800E-03,-2.04590E+00
1.74025680E-03,-2.00684E+00
1.74026560E-03,-2.07520E+00
1.74027440E-03,-2.02637E+00
1.74028320E-03,-2.04590E+00
1.74029200E-03,-2.04590E+00
1.74030080E-03,-2.04590E+00
1.74030960E-03,-2.04590E+00
1.74031840E-03,-2.07520E+00
1.74032720E-03,-2.04590E+00
1.74033600E-03,-2.07520E+00
1.74034480E-03,-2.06543E+00
1.74035360E-03,-2.06543E+00
1.74036240E-03,-2.04590E+00
1.74037120E-03,-2.11426E+00
1.74038000E-03,-2.04590E+00
1.74038880E-03,-2.04590E+00
1.74039760E-03,-2.02637E+00
1.74040640E-03,-2.05566E+00
1.74041520E-03,-2.06543E+00
1.74042400E-03,-2.04590E+00
1.74043280E-03,-2.05566E+00
1.74044160E-03,-2.06543E+00
1.74045040E-03,-2.02637E+00
1.74045920E-03,-2.03613E+00
1.74046800E-03,-2.03613E+00
1.74047680E-03,-2.05566E+00
1.74048560E-03,-2.07520E+00
1.74049440E-03,-2.04590E+00
1.74050320E-03,-2.09473E+00
1.74051200E-03,-2.07520E+00
1.74052080E-03,-2.03613E+00
1.74052960E-03,-2.04590E+00
1.74053840E-03,-2.05566E+00
1.74054720E-03,-2.04590E+00
1.74055600E-03,-2.05566E+00
1.74056480E-03,-2.06543E+00
1.74057360E-03,-2.04590E+00
1.74058240E-03,-2.00684E+00
1.74059120E-03,-2.07520E+00
1.74060000E-03,-2.07520E+00
1.74060880E-03,-2.05566E+00
1.74061760E-03,-2.06543E+00
1.74062640E-03,-2.07520E+00
1.74063520E-03,-2.04590E+00
1.74064400E-03,-2.04590E+00
1.74065280E-03,-2.09473E+00
1.74066160E-03,-2.06543E+00
1.74067040E-03,-2.03613E+00
1.74067920E-03,-2.00684E+00
1.74068800E-03,-2.06543E+00
1.74069680E-03,-2.07520E+00
1.74070560E-03,-2.04590E+00
1.74071440E-03,-2.05566E+00
1.74072320E-03,-2.06543E+00
1.74073200E-03,-2.03613E+00
1.74074080E-03,-2.03613E+00
1.74074960E-03,-2.03613E+00
1.74075840E-03,-2.01660E+00
1.74076720E-03,-2.05566E+00
1.74077600E-03,-2.02637E+00
1.74078480E-03,-2.04590E+00
1.74079360E-03,-2.09473E+00
1.74080240E-03,-2.06543E+00
1.74081120E-03,-2.06543E+00
1.74082000E-03,-2.07520E+00
1.74082880E-03,-2.04590E+00
1.74083760E-03,-2.04590E+00
1.74084640E-03,-2.04590E+00
1.74085520E-03,-2.04590E+00
1.74086400E-03,-2.06543E+00
1.74087280E-03,-2.05566E+00
1.74088160E-03,-2.07520E+00
1.74089040E-03,-2.04590E+00
1.74089920E-03,-2.03613E+00
1.74090800E-03,-2.05566E+00
1.74091680E-03,-2.05566E+00
1.74092560E-03,-2.05566E+00
1.74093440E-03,-2.06543E+00
1.74094320E-03,-2.05566E+00
1.74095200E-03,-2.06543E+00
1.74096080E-03,-2.08496E+00
1.74096960E-03,-2.04590E+00
1.74097840E-03,-2.06543E+00
1.74098720E-03,-2.08496E+00
1.74099600E-03,-2.04590E+00
1.74100480E-03,-2.04590E+00
1.74101360E-03,-2.04590E+00
1.74102240E-03,-2.07520E+00
1.74103120E-03,-2.07520E+00
1.74104000E-03,-2.08496E+00
1.74104880E-03,-2.09473E+00
1.74105760E-03,-2.05566E+00
1.74106640E-03,-2.04590E+00
1.74107520E-03,-2.06543E+00
1.74108400E-03,-2.07520E+00
1.74109280E-03,-2.07520E+00
1.74110160E-03,-2.05566E+00
1.74111040E-03,-2.07520E+00
1.74111920E-03,-2.08496E+00
1.74112800E-03,-2.05566E+00
1.74113680E-03,-2.09473E+00
1.74114560E-03,-2.07520E+00
1.74115440E-03,-2.07520E+00
1.74116320E-03,-2.07520E+00
1.74117200E-03,-2.04590E+00
1.74118080E-03,-2.08496E+00
1.74118960E-03,-2.10449E+00
1.74119840E-03,-2.07520E+00
1.74120720E-03,-2.05566E+00
1.74121600E-03,-2.07520E+00
1.74122480E-03,-2.07520E+00
1.74123360E-03,-2.06543E+00
1.74124240E-03,-2.04590E+00
1.74125120E-03,-2.07520E+00
1.74126000E-03,-2.06543E+00
1.74126880E-03,-2.05566E+00
1.74127760E-03,-2.06543E+00
1.74128640E-03,-2.07520E+00
1.74129520E-03,-2.07520E+00
1.74130400E-03,-2.08496E+00
1.74131280E-03,-2.05566E+00
1.74132160E-03,-2.08496E+00
1.74133040E-03,-2.08496E+00
1.74133920E-03,-2.09473E+00
1.74134800E-03,-2.08496E+00
1.74135680E-03,-2.04590E+00
1.74136560E-03,-2.06543E+00
1.74137440E-03,-2.08496E+00
1.74138320E-03,-2.06543E+00
1.74139200E-03,-2.06543E+00
1.74140080E-03,-2.09473E+00
1.74140960E-03,-2.05566E+00
1.74141840E-03,-2.10449E+00
1.74142720E-03,-2.08496E+00
1.74143600E-03,-2.03613E+00
1.74144480E-03,-2.09473E+00
1.74145360E-03,-2.07520E+00
1.74146240E-03,-2.04590E+00
1.74147120E-03,-2.08496E+00
1.74148000E-03,-2.10449E+00
1.74148880E-03,-2.09473E+00
1.74149760E-03,-2.07520E+00
1.74150640E-03,-2.06543E+00
1.74151520E-03,-2.07520E+00
1.74152400E-03,-2.08496E+00
1.74153280E-03,-2.07520E+00
1.74154160E-03,-2.07520E+00
1.74155040E-03,-2.04590E+00
1.74155920E-03,-2.07520E+00
1.74156800E-03,-2.08496E+00
1.74157680E-03,-2.08496E+00
1.74158560E-03,-2.09473E+00
1.74159440E-03,-2.08496E+00
1.74160320E-03,-2.11426E+00
1.74161200E-03,-2.05566E+00
1.74162080E-03,-2.06543E+00
1.74162960E-03,-2.08496E+00
1.74163840E-03,-2.11426E+00
1.74164720E-03,-2.08496E+00
1.74165600E-03,-2.09473E+00
1.74166480E-03,-2.09473E+00
1.74167360E-03,-2.11426E+00
1.74168240E-03,-2.04590E+00
1.74169120E-03,-2.11426E+00
1.74170000E-03,-2.07520E+00
1.74170880E-03,-2.09473E+00
1.74171760E-03,-2.07520E+00
1.74172640E-03,-2.11426E+00
1.74173520E-03,-2.06543E+00
1.74174400E-03,-2.08496E+00
1.74175280E-03,-2.08496E+00
1.74176160E-03,-2.08496E+00
1.74177040E-03,-2.10449E+00
1.74177920E-03,-2.10449E+00
1.74178800E-03,-2.09473E+00
1.74179680E-03,-2.06543E+00
1.74180560E-03,-2.08496E+00
1.74181440E-03,-2.08496E+00
1.74182320E-03,-2.11426E+00
1.74183200E-03,-2.07520E+00
1.74184080E-03,-2.09473E+00
1.74184960E-03,-2.07520E+00
1.74185840E-03,-2.07520E+00
1.74186720E-03,-2.09473E+00
1.74187600E-03,-2.10449E+00
1.74188480E-03,-2.10449E+00
1.74189360E-03,-2.04590E+00
1.74190240E-03,-2.07520E+00
1.74191120E-03,-2.10449E+00
1.74192000E-03,-2.07520E+00
1.74192880E-03,-2.09473E+00
1.74193760E-03,-2.09473E+00
1.74194640E-03,-2.09473E+00
1.74195520E-03,-2.08496E+00
1.74196400E-03,-2.10449E+00
1.74197280E-03,-2.07520E+00
1.74198160E-03,-2.08496E+00
1.74199040E-03,-2.04590E+00
1.74199920E-03,-2.07520E+00
1.74200800E-03,-2.09473E+00
1.74201680E-03,-2.10449E+00
1.74202560E-03,-2.10449E+00
1.74203440E-03,-2.05566E+00
1.74204320E-03,-2.09473E+00
1.74205200E-03,-2.08496E+00
1.74206080E-03,-2.11426E+00
1.74206960E-03,-2.07520E+00
1.74207840E-03,-2.10449E+00
1.74208720E-03,-2.08496E+00
1.74209600E-03,-2.04590E+00
1.74210480E-03,-2.10449E+00
1.74211360E-03,-2.11426E+00
1.74212240E-03,-2.09473E+00
1.74213120E-03,-2.07520E+00
1.74214000E-03,-2.10449E+00
1.74214880E-03,-2.09473E+00
1.74215760E-03,-2.07520E+00
1.74216640E-03,-2.07520E+00
1.74217520E-03,-2.07520E+00
1.74218400E-03,-2.10449E+00
1.74219280E-03,-2.07520E+00
1.74220160E-03,-2.09473E+00
1.74221040E-03,-2.10449E+00
1.74221920E-03,-2.09473E+00
1.74222800E-03,-2.07520E+00
1.74223680E-03,-2.07520E+00
1.74224560E-03,-2.12402E+00
1.74225440E-03,-2.05566E+00
1.74226320E-03,-2.10449E+00
1.74227200E-03,-2.09473E+00
1.74228080E-03,-2.09473E+00
1.74228960E-03,-2.10449E+00
1.74229840E-03,-2.07520E+00
1.74230720E-03,-2.07520E+00
1.74231600E-03,-2.08496E+00
1.74232480E-03,-2.06543E+00
1.74233360E-03,-2.07520E+00
1.74234240E-03,-2.11426E+00
1.74235120E-03,-2.07520E+00
1.74236000E-03,-2.10449E+00
1.74236880E-03,-2.10449E+00
1.74237760E-03,-2.10449E+00
1.74238640E-03,-2.07520E+00
1.74239520E-03,-2.09473E+00
1.74240400E-03,-2.08496E+00
1.74241280E-03,-2.08496E+00
1.74242160E-03,-2.08496E+00
1.74243040E-03,-2.11426E+00
1.74243920E-03,-2.10449E+00
1.74244800E-03,-2.05566E+00
1.74245680E-03,-2.05566E+00
1.74246560E-03,-2.11426E+00
1.74247440E-03,-2.06543E+00
1.74248320E-03,-2.10449E+00
1.74249200E-03,-2.07520E+00
1.74250080E-03,-2.09473E+00
1.74250960E-03,-2.09473E+00
1.74251840E-03,-2.09473E+00
1.74252720E-03,-2.11426E+00
1.74253600E-03,-2.08496E+00
1.74254480E-03,-2.06543E+00
1.74255360E-03,-2.08496E+00
1.74256240E-03,-2.08496E+00
1.74257120E-03,-2.12402E+00
1.74258000E-03,-2.06543E+00
1.74258880E-03,-2.09473E+00
1.74259760E-03,-2.10449E+00
1.74260640E-03,-2.10449E+00
1.74261520E-03,-2.09473E+00
1.74262400E-03,-2.09473E+00
1.74263280E-03,-2.08496E+00
1.74264160E-03,-2.09473E+00
1.74265040E-03,-2.09473E+00
1.74265920E-03,-2.11426E+00
1.74266800E-03,-2.09473E+00
1.74267680E-03,-2.11426E+00
1.74268560E-03,-2.10449E+00
1.74269440E-03,-2.10449E+00
1.74270320E-03,-2.09473E+00
1.74271200E-03,-2.10449E+00
1.74272080E-03,-2.11426E+00
1.74272960E-03,-2.09473E+00
1.74273840E-03,-2.10449E+00
1.74274720E-03,-2.10449E+00
1.74275600E-03,-2.05566E+00
1.74276480E-03,-2.10449E+00
1.74277360E-03,-2.09473E+00
1.74278240E-03,-2.09473E+00
1.74279120E-03,-2.06543E+00
1.74280000E-03,-2.10449E+00
1.74280880E-03,-2.10449E+00
1.74281760E-03,-2.05566E+00
1.74282640E-03,-2.10449E+00
1.74283520E-03,-2.10449E+00
1.74284400E-03,-2.09473E+00
1.74285280E-03,-2.09473E+00
1.74286160E-03,-2.10449E+00
1.74287040E-03,-2.11426E+00
1.74287920E-03,-2.09473E+00
1.74288800E-03,-2.10449E+00
1.74289680E-03,-2.07520E+00
1.74290560E-03,-2.11426E+00
1.74291440E-03,-2.11426E+00
1.74292320E-03,-2.11426E+00
1.74293200E-03,-2.08496E+00
1.74294080E-03,-2.11426E+00
1.74294960E-03,-2.13379E+00
1.74295840E-03,-2.11426E+00
1.74296720E-03,-2.10449E+00
1.74297600E-03,-2.08496E+00
1.74298480E-03,-2.11426E+00
1.74299360E-03,-2.09473E+00
1.74300240E-03,-2.09473E+00
1.74301120E-03,-2.11426E+00
1.74302000E-03,-2.14355E+00
1.74302880E-03,-2.07520E+00
1.74303760E-03,-2.10449E+00
1.74304640E-03,-2.11426E+00
1.74305520E-03,-2.09473E+00
1.74306400E-03,-2.08496E+00
1.74307280E-03,-2.10449E+00
1.74308160E-03,-2.07520E+00
1.74309040E-03,-2.10449E+00
1.74309920E-03,-2.10449E+00
1.74310800E-03,-2.06543E+00
1.74311680E-03,-2.07520E+00
1.74312560E-03,-2.09473E+00
1.74313440E-03,-2.09473E+00
1.74314320E-03,-2.07520E+00
1.74315200E-03,-2.09473E+00
1.74316080E-03,-2.08496E+00
1.74316960E-03,-2.08496E+00
1.74317840E-03,-2.10449E+00
1.74318720E-03,-2.09473E+00
1.74319600E-03,-2.14355E+00
1.74320480E-03,-2.10449E+00
1.74321360E-03,-2.07520E+00
1.74322240E-03,-2.08496E+00
1.74323120E-03,-2.13379E+00
1.74324000E-03,-2.13379E+00
1.74324880E-03,-2.09473E+00
1.74325760E-03,-2.11426E+00
1.74326640E-03,-2.11426E+00
1.74327520E-03,-2.10449E+00
1.74328400E-03,-2.11426E+00
1.74329280E-03,-2.11426E+00
1.74330160E-03,-2.13379E+00
1.74331040E-03,-2.10449E+00
1.74331920E-03,-2.13379E+00
1.74332800E-03,-2.10449E+00
1.74333680E-03,-2.07520E+00
1.74334560E-03,-2.10449E+00
1.74335440E-03,-2.11426E+00
1.74336320E-03,-2.11426E+00
1.74337200E-03,-2.11426E+00
1.74338080E-03,-2.12402E+00
1.74338960E-03,-2.08496E+00
1.74339840E-03,-2.10449E+00
1.74340720E-03,-2.07520E+00
1.74341600E-03,-2.12402E+00
1.74342480E-03,-2.09473E+00
1.74343360E-03,-2.11426E+00
1.74344240E-03,-2.11426E+00
1.74345120E-03,-2.09473E+00
1.74346000E-03,-2.09473E+00
1.74346880E-03,-2.10449E+00
1.74347760E-03,-2.06543E+00
1.74348640E-03,-2.08496E+00
1.74349520E-03,-2.11426E+00
1.74350400E-03,-2.09473E+00
1.74351280E-03,-2.13379E+00
1.74352160E-03,-2.12402E+00
1.74353040E-03,-2.13379E+00
1.74353920E-03,-2.09473E+00
1.74354800E-03,-2.09473E+00
1.74355680E-03,-2.10449E+00
1.74356560E-03,-2.10449E+00
1.74357440E-03,-2.14355E+00
1.74358320E-03,-2.09473E+00
1.74359200E-03,-2.13379E+00
1.74360080E-03,-2.08496E+00
1.74360960E-03,-2.11426E+00
1.74361840E-03,-2.11426E+00
1.74362720E-03,-2.11426E+00
1.74363600E-03,-2.10449E+00
1.74364480E-03,-2.12402E+00
1.74365360E-03,-2.10449E+00
1.74366240E-03,-2.09473E+00
1.74367120E-03,-2.10449E+00
1.74368000E-03,-2.11426E+00
1.74368880E-03,-2.09473E+00
1.74369760E-03,-2.13379E+00
1.74370640E-03,-2.09473E+00
1.74371520E-03,-2.11426E+00
1.74372400E-03,-2.09473E+00
1.74373280E-03,-2.09473E+00
1.74374160E-03,-2.10449E+00
1.74375040E-03,-2.13379E+00
1.74375920E-03,-2.08496E+00
1.74376800E-03,-2.08496E+00
1.74377680E-03,-2.08496E+00
1.74378560E-03,-2.08496E+00
1.74379440E-03,-2.11426E+00
1.74380320E-03,-2.09473E+00
1.74381200E-03,-2.09473E+00
1.74382080E-03,-2.09473E+00
1.74382960E-03,-2.09473E+00
1.74383840E-03,-2.09473E+00
1.74384720E-03,-2.08496E+00
1.74385600E-03,-2.07520E+00
1.74386480E-03,-2.08496E+00
1.74387360E-03,-2.06543E+00
1.74388240E-03,-2.08496E+00
1.74389120E-03,-2.11426E+00
1.74390000E-03,-2.11426E+00
1.74390880E-03,-2.10449E+00
1.74391760E-03,-2.09473E+00
1.74392640E-03,-2.11426E+00
1.74393520E-03,-2.11426E+00
1.74394400E-03,-2.11426E+00
1.74395280E-03,-2.11426E+00
1.74396160E-03,-2.14355E+00
1.74397040E-03,-2.11426E+00
1.74397920E-03,-2.11426E+00
1.74398800E-03,-2.10449E+00
