in s,C2 in V
-1.0199904E-03,-2.87617E-02
-1.0199748E-03,-2.97383E-02
-1.0199592E-03,-2.77852E-02
-1.0199436E-03,-2.87617E-02
-1.0199280E-03,-2.77852E-02
-1.0199124E-03,-2.77852E-02
-1.0198968E-03,-2.87617E-02
-1.0198812E-03,-2.77852E-02
-1.0198656E-03,-2.68086E-02
-1.0198500E-03,-2.77852E-02
-1.0198344E-03,-2.68086E-02
-1.0198188E-03,-2.97383E-02
-1.0198032E-03,-2.77852E-02
-1.0197876E-03,-2.87617E-02
-1.0197720E-03,-3.16914E-02
-1.0197564E-03,-3.07148E-02
-1.0197408E-03,-2.87617E-02
-1.0197252E-03,-2.97383E-02
-1.0197096E-03,-3.07148E-02
-1.0196940E-03,-2.68086E-02
-1.0196784E-03,-3.26680E-02
-1.0196628E-03,-2.87617E-02
-1.0196472E-03,-2.58320E-02
-1.0196316E-03,-2.77852E-02
-1.0196160E-03,-2.97383E-02
-1.0196004E-03,-2.97383E-02
-1.0195848E-03,-2.68086E-02
-1.0195692E-03,-2.97383E-02
-1.0195536E-03,-2.48555E-02
-1.0195380E-03,-3.07148E-02
-1.0195224E-03,-3.07148E-02
-1.0195068E-03,-2.58320E-02
-1.0194912E-03,-2.97383E-02
-1.0194756E-03,-2.68086E-02
-1.0194600E-03,-2.97383E-02
-1.0194444E-03,-2.77852E-02
-1.0194288E-03,-2.48555E-02
-1.0194132E-03,-2.68086E-02
-1.0193976E-03,-3.26680E-02
-1.0193820E-03,-2.77852E-02
-1.0193664E-03,-3.07148E-02
-1.0193508E-03,-2.58320E-02
-1.0193352E-03,-2.48555E-02
-1.0193196E-03,-2.68086E-02
-1.0193040E-03,-2.97383E-02
-1.0192884E-03,-2.87617E-02
-1.0192728E-03,-2.77852E-02
-1.0192572E-03,-2.97383E-02
-1.0192416E-03,-2.87617E-02
-1.0192260E-03,-2.77852E-02
-1.0192104E-03,-2.97383E-02
-1.0191948E-03,-2.68086E-02
-1.0191792E-03,-2.97383E-02
-1.0191636E-03,-3.07148E-02
-1.0191480E-03,-2.77852E-02
-1.0191324E-03,-2.87617E-02
-1.0191168E-03,-2.68086E-02
-1.0191012E-03,-2.87617E-02
-1.0190856E-03,-2.77852E-02
-1.0190700E-03,-2.58320E-02
-1.0190544E-03,-2.58320E-02
-1.0190388E-03,-2.97383E-02
-1.0190232E-03,-2.58320E-02
-1.0190076E-03,-2.97383E-02
-1.0189920E-03,-2.29023E-02
-1.0189764E-03,-2.87617E-02
-1.0189608E-03,-2.68086E-02
-1.0189452E-03,-2.38789E-02
-1.0189296E-03,-2.87617E-02
-1.0189140E-03,-2.68086E-02
-1.0188984E-03,-2.68086E-02
-1.0188828E-03,-2.38789E-02
-1.0188672E-03,-2.87617E-02
-1.0188516E-03,-2.77852E-02
-1.0188360E-03,-2.38789E-02
-1.0188204E-03,-2.77852E-02
-1.0188048E-03,-2.58320E-02
-1.0187892E-03,-2.87617E-02
-1.0187736E-03,-2.48555E-02
-1.0187580E-03,-2.97383E-02
-1.0187424E-03,-2.48555E-02
-1.0187268E-03,-2.68086E-02
-1.0187112E-03,-2.87617E-02
-1.0186956E-03,-2.58320E-02
-1.0186800E-03,-2.48555E-02
-1.0186644E-03,-2.38789E-02
-1.0186488E-03,-2.87617E-02
-1.0186332E-03,-2.38789E-02
-1.0186176E-03,-2.38789E-02
-1.0186020E-03,-2.58320E-02
-1.0185864E-03,-2.87617E-02
-1.0185708E-03,-2.68086E-02
-1.0185552E-03,-2.77852E-02
-1.0185396E-03,-2.58320E-02
-1.0185240E-03,-2.68086E-02
-1.0185084E-03,-2.58320E-02
-1.0184928E-03,-2.48555E-02
-1.0184772E-03,-2.77852E-02
-1.0184616E-03,-2.68086E-02
-1.0184460E-03,-2.58320E-02
-1.0184304E-03,-2.38789E-02
-1.0184148E-03,-2.77852E-02
-1.0183992E-03,-2.68086E-02
-1.0183836E-03,-2.38789E-02
-1.0183680E-03,-2.68086E-02
-1.0183524E-03,-2.48555E-02
-1.0183368E-03,-2.58320E-02
-1.0183212E-03,-2.58320E-02
-1.0183056E-03,-2.58320E-02
-1.0182900E-03,-2.58320E-02
-1.0182744E-03,-2.38789E-02
-1.0182588E-03,-2.19258E-02
-1.0182432E-03,-2.68086E-02
-1.0182276E-03,-2.68086E-02
-1.0182120E-03,-2.68086E-02
-1.0181964E-03,-2.58320E-02
